Date,High,Low,Open,Close,Volume,Adj Close
2020-01-02,141.10000610351562,139.25999450683594,139.7899932861328,141.08999633789062,10803700.0,132.81069946289062
2020-01-03,139.22999572753906,137.0800018310547,137.5,138.33999633789062,10386800.0,131.05807495117188
2020-01-06,138.27000427246094,136.5,136.55999755859375,138.22999572753906,10259000.0,130.95387268066406
2020-01-07,137.86000061035156,135.82000732421875,137.27999877929688,135.8800048828125,10531300.0,128.7275848388672
2020-01-08,137.5800018310547,135.60000610351562,135.6999969482422,136.94000244140625,9695300.0,129.7317657470703
2020-01-09,138.22999572753906,137.0399932861328,138.0500030517578,137.44000244140625,9469000.0,130.20545959472656
2020-01-10,137.25,135.80999755859375,137.2100067138672,136.07000732421875,10190900.0,128.90756225585938
2020-01-13,137.1999969482422,135.75999450683594,136.19000244140625,137.1999969482422,12355200.0,129.9780731201172
2020-01-14,140.75999450683594,137.69000244140625,137.94000244140625,138.8000030517578,24906000.0,131.493896484375
2020-01-15,138.60000610351562,136.14999389648438,137.85000610351562,136.72000122070312,16293400.0,129.52334594726562
2020-01-16,137.89999389648438,136.83999633789062,137.4499969482422,137.25,10783800.0,130.0254669189453
2020-01-17,138.2899932861328,137.32000732421875,137.5399932861328,138.1999969482422,14697700.0,130.92544555664062
2020-01-21,138.07000732421875,136.69000244140625,137.19000244140625,136.83999633789062,8474200.0,129.6370391845703
2020-01-22,137.39999389648438,136.3800048828125,137.24000549316406,136.67999267578125,7549100.0,129.48544311523438
2020-01-23,136.74000549316406,134.72000122070312,135.7100067138672,136.5399932861328,9345700.0,129.3528289794922
2020-01-24,136.42999267578125,132.32000732421875,136.3699951171875,133.14999389648438,15166400.0,126.14127349853516
2020-01-27,132.94000244140625,129.7100067138672,130.27000427246094,132.02999877929688,12860500.0,125.08023834228516
2020-01-28,134.97000122070312,132.47999572753906,132.83999633789062,134.42999267578125,13062800.0,127.35387420654297
2020-01-29,135.5399932861328,133.69000244140625,134.80999755859375,134.22999572753906,9326000.0,127.1644058227539
2020-01-30,136.1300048828125,132.69000244140625,132.69000244140625,135.88999938964844,9048900.0,128.73704528808594
